Station;Fuseau;Chronique;unite
PIZ;UTC+00;HT;cm
DateHeure;valeur;qualite
23/07/2024 23:35;49.4;v
24/07/2024 00:05;49.4;v
24/07/2024 00:10;49.5;v
24/07/2024 01:00;49.4;v
24/07/2024 02:00;49.5;v
24/07/2024 02:40;49.7;v
24/07/2024 03:10;49.5;v
24/07/2024 03:15;49.6;v
24/07/2024 03:40;49.5;v
24/07/2024 04:05;49.7;v
24/07/2024 04:25;49.6;v
24/07/2024 05:45;49.8;v
24/07/2024 05:50;49.7;v
24/07/2024 06:50;50.0;v
24/07/2024 07:00;49.8;v
24/07/2024 07:05;50.0;v
24/07/2024 07:35;50.1;v
24/07/2024 07:40;49.9;v
24/07/2024 08:00;50.1;v
24/07/2024 11:15;50.2;v
24/07/2024 12:10;50.1;v
24/07/2024 12:40;50.2;v
24/07/2024 13:55;49.8;v
24/07/2024 14:10;50.0;v
24/07/2024 14:20;49.8;v
24/07/2024 15:10;49.8;v
24/07/2024 15:20;50.0;v
24/07/2024 15:25;49.8;v
24/07/2024 16:00;49.8;v
24/07/2024 16:55;49.6;v
24/07/2024 17:05;49.5;v
24/07/2024 17:10;49.6;v
24/07/2024 17:30;49.4;v
24/07/2024 18:30;49.4;v
24/07/2024 19:10;49.2;v
24/07/2024 19:15;49.3;v
24/07/2024 19:35;49.1;v
24/07/2024 21:45;49.1;v
24/07/2024 22:05;49.0;v
24/07/2024 22:15;49.1;v
24/07/2024 23:25;48.8;v
24/07/2024 23:30;49.0;v
24/07/2024 23:35;48.9;v
24/07/2024 23:40;49.0;v
24/07/2024 23:50;48.8;v
25/07/2024 00:00;49.0;v
25/07/2024 00:25;48.8;v
25/07/2024 00:45;48.9;v
25/07/2024 01:25;48.8;v
25/07/2024 01:55;48.9;v
25/07/2024 02:05;48.8;v
25/07/2024 02:10;49.0;v
25/07/2024 02:20;48.8;v
25/07/2024 02:30;48.9;v
25/07/2024 02:35;49.0;v
25/07/2024 04:20;49.0;v
25/07/2024 05:10;49.4;v
25/07/2024 05:55;49.2;v
25/07/2024 06:35;49.4;v
25/07/2024 09:20;49.4;v
25/07/2024 10:20;49.6;v
25/07/2024 10:30;49.5;v
25/07/2024 10:40;49.7;v
25/07/2024 11:05;49.5;v
25/07/2024 11:35;49.6;v
25/07/2024 12:20;49.4;v
25/07/2024 13:10;49.6;v
25/07/2024 13:35;49.4;v
25/07/2024 15:40;49.4;v
25/07/2024 15:50;49.2;v
25/07/2024 16:00;49.3;v
25/07/2024 16:40;49.1;v
25/07/2024 18:40;49.1;v
25/07/2024 19:40;48.8;v
25/07/2024 20:20;48.7;v
25/07/2024 23:00;48.7;v
25/07/2024 23:25;48.6;v
26/07/2024 00:20;48.7;v
26/07/2024 00:25;48.6;v
26/07/2024 01:10;48.5;v
26/07/2024 01:55;48.5;v
26/07/2024 02:00;48.6;v
26/07/2024 02:10;48.5;v
26/07/2024 02:55;48.6;v
26/07/2024 03:00;48.5;v
26/07/2024 03:05;48.6;v
26/07/2024 03:25;48.5;v
26/07/2024 03:30;48.7;v
26/07/2024 03:55;48.5;v
26/07/2024 04:15;48.7;v
26/07/2024 04:25;48.6;v
26/07/2024 04:45;48.7;v
26/07/2024 06:45;48.8;v
26/07/2024 07:35;49.2;v
26/07/2024 11:00;49.1;v
26/07/2024 11:35;49.3;v
26/07/2024 13:10;49.0;v
26/07/2024 14:10;49.1;v
26/07/2024 14:40;49.0;v
26/07/2024 14:50;49.1;v
26/07/2024 15:30;48.8;v
26/07/2024 15:35;49.0;v
26/07/2024 15:40;48.8;v
26/07/2024 17:15;48.7;v
26/07/2024 18:05;48.4;v
26/07/2024 18:25;48.6;v
26/07/2024 20:35;48.4;v
26/07/2024 21:35;48.5;v
26/07/2024 22:30;48.2;v
27/07/2024 00:35;48.0;v
27/07/2024 02:25;48.1;v
27/07/2024 02:50;48.0;v
27/07/2024 03:00;48.2;v
27/07/2024 05:15;48.2;v
27/07/2024 05:55;48.4;v
27/07/2024 06:15;48.3;v
27/07/2024 06:30;48.4;v
27/07/2024 08:55;48.6;v
27/07/2024 09:00;48.7;v
27/07/2024 10:40;48.9;v
27/07/2024 11:55;48.8;v
27/07/2024 12:40;48.9;v
27/07/2024 13:00;48.7;v
27/07/2024 15:00;48.8;v
27/07/2024 15:15;48.5;v
27/07/2024 15:35;48.7;v
27/07/2024 16:15;48.5;v
27/07/2024 16:50;48.6;v
27/07/2024 17:55;48.4;v
27/07/2024 19:00;48.4;v
27/07/2024 19:25;48.2;v
27/07/2024 19:35;48.4;v
27/07/2024 19:50;48.2;v
27/07/2024 20:15;48.2;v
27/07/2024 20:30;48.3;v
27/07/2024 20:55;48.8;v
27/07/2024 21:20;49.0;v
27/07/2024 21:25;48.9;v
27/07/2024 21:30;49.0;v
27/07/2024 21:40;48.8;v
27/07/2024 22:45;48.8;v
27/07/2024 23:00;49.2;v
27/07/2024 23:10;49.8;v
27/07/2024 23:35;50.1;v
27/07/2024 23:55;49.7;v
28/07/2024 00:10;49.7;v
28/07/2024 00:55;49.2;v
28/07/2024 01:15;49.1;v
28/07/2024 01:20;48.9;v
28/07/2024 03:10;48.5;v
28/07/2024 03:15;48.7;v
28/07/2024 04:15;48.8;v
28/07/2024 05:15;49.5;v
28/07/2024 05:50;49.5;v
28/07/2024 07:40;49.5;v
28/07/2024 08:25;49.2;v
28/07/2024 09:00;49.4;v
28/07/2024 09:10;49.2;v
28/07/2024 10:05;49.2;v
28/07/2024 10:25;48.8;v
28/07/2024 11:05;48.5;v
28/07/2024 14:30;48.5;v
28/07/2024 15:10;48.7;v
28/07/2024 15:15;48.5;v
28/07/2024 15:50;48.6;v
28/07/2024 15:55;48.5;v
28/07/2024 17:55;48.5;v
28/07/2024 18:30;48.6;v
28/07/2024 19:25;48.4;v
28/07/2024 21:25;48.5;v
28/07/2024 21:35;48.4;v
28/07/2024 21:40;48.2;v
28/07/2024 22:15;48.4;v
28/07/2024 22:20;48.2;v
29/07/2024 00:25;48.1;v
29/07/2024 01:45;48.2;v
29/07/2024 02:45;48.1;v
29/07/2024 04:20;48.0;v
29/07/2024 04:25;48.2;v
29/07/2024 05:10;48.1;v
29/07/2024 07:05;48.2;v
29/07/2024 07:15;48.3;v
29/07/2024 07:20;48.2;v
29/07/2024 07:25;48.4;v
29/07/2024 07:45;48.2;v
29/07/2024 07:50;48.4;v
29/07/2024 07:55;48.3;v
29/07/2024 08:00;48.5;v
29/07/2024 08:10;48.3;v
29/07/2024 08:50;48.5;v
29/07/2024 09:10;48.4;v
29/07/2024 09:50;48.5;v
29/07/2024 11:40;48.5;v
29/07/2024 13:15;48.7;v
29/07/2024 14:45;48.5;v
